TABLE_NAME,COLUMN_NAME,DATA_TYPE
Districts,EnglishName,nvarchar
Districts,GovernrateId,int
Documents,TenantId,int
Documents,Id,int
Documents,SubmitDate,datetime
Documents,Required,bit
Documents,Received,bit
Documents,DocumentTypeId,int
Documents,EmployeeId,int
Documents,Note,nvarchar
DocumentTypes,TenantId,int
DocumentTypes,Id,int
DocumentTypes,ArabicName,nvarchar
DocumentTypes,EnglishName,nvarchar
DocumentTypes,Required,bit
DocumentTypes,IsHiring,bit
DocumentTypes,Type,tinyint
DrivingLicenses,TenantId,int
DrivingLicenses,Id,int
DrivingLicenses,Number,nvarchar
DrivingLicenses,ReleaseDate,datetime
DrivingLicenses,ExpirationDate,datetime
DrivingLicenses,ViewPublication,nvarchar
DrivingLicenses,LicenseTypeId,int
EdaraTenants,TenantId,int
EdaraTenants,Token,nvarchar
Emails,TenantId,int
Emails,Id,int
Emails,Host,nvarchar
Emails,Port,int
Emails,EmailAddress,nvarchar
Emails,Password,nvarchar
Emails,SslEnabled,bit
Emails,SendGrid,bit
EmployeeActivities,TenantId,int
EmployeeActivities,Id,int
EmployeeActivities,ActivityId,int
EmployeeActivities,Value,float
EmployeeActivities,ExecutionDate,datetime
EmployeeActivities,Comment,nvarchar
EmployeeActivities,CreateDate,datetime
EmployeeActivities,UserName,nvarchar
EmployeeActivities,EmployeeId,int
EmployeeActivities,SalaryItemId,int
EmployeeActivities,ValueToCalculate,float
EmployeeActivities,Tag,nvarchar
EmployeeActivities,LoanId,int
EmployeeActivities,ValueActivityId,int
EmployeeAppraisals,TenantId,int
EmployeeAppraisals,Id,int
EmployeeAppraisals,Start,datetime
EmployeeAppraisals,End,datetime
EmployeeAppraisals,Value,float
EmployeeAppraisals,EmployeeId,int
EmployeeAppraisals,EmployeeEvaluationTemplateId,int
EmployeeAppraisals,Duration,nvarchar
EmployeeAppraisals,Feedback,nvarchar
EmployeeAppraisals,DevPlan,nvarchar
EmployeeBanks,TenantId,int
EmployeeBanks,Id,int
EmployeeBanks,BranchId,int
EmployeeBanks,AccountNum,nvarchar
EmployeeBanks,PplSoftId,nvarchar
EmployeeBanks,AccountType,nvarchar
EmployeeCodes,TenantId,int
EmployeeCodes,Id,int
EmployeeCodes,Length,tinyint
EmployeeCodes,Prefix,nvarchar
EmployeeCustodies,TenantId,int
EmployeeCustodies,Id,int
EmployeeCustodies,EmployeeId,int
EmployeeCustodies,CustodyId,int
EmployeeCustodies,DeliveryDate,datetime
EmployeeCustodies,DateOfReceipt,datetime
EmployeeCustodies,EmployeeActivityId,int
EmployeeEvaluations,TenantId,int
EmployeeEvaluations,Id,int
EmployeeEvaluations,EmployeeId,int
EmployeeEvaluations,EvaluationTemplateId,int
EmployeeEvaluations,TotalEvaluationValue,float
EmployeeEvaluations,IsActive,bit
EmployeeEvaluations,FlgStatus,bit
EmployeeEvaluationTemplates,TenantId,int
EmployeeEvaluationTemplates,Id,int
EmployeeEvaluationTemplates,From,datetime
EmployeeEvaluationTemplates,IsActive,bit
EmployeeEvaluationTemplates,Employees,nvarchar
EmployeeEvaluationTemplates,EvaluationTemplateId,int
EmployeeFaceIds,TenantId,int
EmployeeFaceIds,Id,int
EmployeeFaceIds,ImageUrl,varchar
EmployeeFaceIds,IsApproved,bit
EmployeeFaceIds,MasterFaceId,uniqueidentifier
EmployeeFaceIds,FacePersonId,uniqueidentifier
EmployeeFaceIds,FacePersonGroupId,nvarchar
EmployeeFaceIds,Status,tinyint
EmployeeFaceIds,RecognitionModel,nvarchar
EmployeeGroupsEmployees,TenantId,int
EmployeeGroupsEmployees,EmployeeId,int
EmployeeGroupsEmployees,EmployeeGroupId,int
EmployeeInsurances,TenantId,int
EmployeeInsurances,Id,int
EmployeeInsurances,EmployeeId,int
EmployeeInsurances,SocialNumber,nvarchar
EmployeeInsurances,Type,nvarchar
EmployeeInsurances,RegisterDate,datetime
EmployeeInsurances,BasicSalary,float
EmployeeInsurances,RegisterSalary,float
EmployeeInsurances,TotalSalary,float
EmployeeInsurances,MonthlyPercentage,float
EmployeeInsurances,QualificationName,nvarchar
EmployeeInsurances,Code1,nvarchar
EmployeeInsurances,Code2,nvarchar
EmployeeInsurances,JobTitle,nvarchar
EmployeeInsurances,Nationality,int
EmployeeInsurances,NationalId,nvarchar
EmployeeInsurances,PassportNumber,nvarchar
EmployeeInsurances,PermitStatus,int
EmployeeInsurances,PermitNumber,nvarchar
EmployeeInsurances,WorkingDuration,int
EmployeeItems,TenantId,int
EmployeeItems,Id,int
EmployeeItems,ItemId,int
EmployeeItems,EquationId,int
EmployeeItems,Value,float
EmployeeItems,EmployeeId,int
EmployeeItems,ExpenseAccount,int
EmployeeItems,AccrualAccount,int
EmployeeItems,CostCenter,int
EmployeeJobs,TenantId,int
EmployeeJobs,Id,int
EmployeeJobs,Code,varchar
EmployeeJobs,ArabicName,nvarchar
EmployeeJobs,EnglishName,nvarchar
EmployeeJobs,Email,nvarchar
EmployeeJobs,Status,tinyint
EmployeeJobs,UserName,nvarchar
EmployeeJobs,NationalId,nvarchar
EmployeeJobs,HasImage,bit
EmployeeJobs,ActualWorkingDate,datetime
EmployeeJobs,DepartmentId,int
EmployeeJobs,DepartmentArabicName,nvarchar
EmployeeJobs,DepartmentEnglishName,nvarchar
EmployeeJobs,JobTitleId,int
EmployeeJobs,JobTitleArabicName,nvarchar
EmployeeJobs,JobTitleEnglishName,nvarchar
EmployeeJobs,IsHead,bit
EmployeeLocations,TenantId,int
EmployeeLocations,EmployeeId,int
EmployeeLocations,LocationId,int
EmployeeLocations,StartDate,date
EmployeeLocations,EndDate,date
EmployeeMultiPlans,TenantId,int
EmployeeMultiPlans,Id,int
EmployeeMultiPlans,EmployeeId,int
EmployeeMultiPlans,PlanId,int
EmployeeMultiPlans,FromDate,datetime
EmployeeMultiPlans,ToDate,datetime
EmployeeMultiPlans,ModifiedDate,datetime
EmployeeMultiPlans,ModifiedBy,nvarchar
EmployeePlans,TenantId,int
EmployeePlans,Id,int
EmployeePlans,FromDate,datetime
EmployeePlans,ToDate,datetime
EmployeePlans,EmployeeId,int
EmployeePlans,PlanId,int
EmployeePortal,TenantId,int
EmployeePortal,Id,int
EmployeeRequestReviewCycles,TenantId,int
EmployeeRequestReviewCycles,EmployeeId,int
EmployeeRequestReviewCycles,RequestReviewCycleId,int
EmployeeRequests,Id,int
EmployeeRequests,EmployeeId,int
EmployeeRequests,RequestTypeId,int
EmployeeRequests,TenantId,int
Employees,TenantId,int
Employees,Id,int
Employees,ModifiedDate,datetime
Employees,Email,nvarchar
Employees,Active,bit
Employees,UserName,nvarchar
Employees,PicPath,nvarchar
Employees,NationalId,nvarchar
Employees,ModifiedBy,nvarchar
Employees,BirthDate,datetime
Employees,ArabicFirstName,nvarchar
Employees,ArabicSecondName,nvarchar
Employees,ArabicFamilyName,nvarchar
Employees,EnglishFirstName,nvarchar
Employees,EnglishSecondName,nvarchar
Employees,EnglishFamilyName,nvarchar
Employees,BloodGroup,nchar
Employees,MaritalDate,datetime
Employees,Code,nvarchar
Employees,SubjectToInsurance,bit
Employees,SocialId,nvarchar
Employees,MaritalStatusId,int
Employees,ReligionId,int
Employees,GenderId,int
Employees,CountryId,int
Employees,ExtendedData,nvarchar
Employees,Phone,nvarchar
Employees,EmergencyNumber,nvarchar
Employees,EmployeeBankId,int
Employees,OtherReligion,nvarchar
Employees,Notes,nvarchar
Employees,IsTrusted,bit
Employees,HasEpAccount,bit
Employees,HasImage,bit
Employees,ArabicName,nvarchar
Employees,EnglishName,nvarchar
Employees,EssPassword,nchar
Employees,WowDeskId,int
Employees,IsSuspended,bit
EmployeesDashboard,TenantId,int
EmployeesDashboard,Id,int
EmployeesDashboard,EmployeesCount,int
EmployeesDashboard,SystemHealth,float
EmployeesDashboard,EmployeeStored,int
EmployeesDashboard,EmployeePercentage,float
EmployeesDashboard,UndeliverdDoc,int
EmployeesDashboard,BasicData,varchar
EmployeesDashboard,JobData,varchar
EmployeesDashboard,TurnoverMeter3Mon,float
EmployeesDashboard,TurnoverMeter6Mon,float
EmployeesDashboard,TurnoverMeter12Mon,float
EmployeesDashboard,LeavingEmployeesCount3,int
EmployeesDashboard,LeavingEmployeesCount12,int
EmployeesDashboard,NewEmployeesCount12,int
EmployeesDashboard,Vacancy,int
EmployeesDashboard,JobTitleCount,int
EmployeesDashboard,Citizens,float
EmployeesDashboard,BirthDateThisMonth,int
EmployeesDashboard,LastUpdate,datetime
EmployeeServices,TenantId,int
EmployeeServices,Id,int
EmployeeServices,EmployeeId,int
EmployeeServices,Service,nvarchar
EmployeeServices,Notes,nvarchar
EmployeeServices,BeforeDiscount,decimal
EmployeeServices,AfterDiscount,decimal
EmployeeServices,CreatedDate,datetime
EmployeeServices,EmployeeProviderId,int
EmployeeServices,ServiceProviderId,int
EmployeesGroups,TenantId,int
EmployeesGroups,Id,int
EmployeesGroups,ArabicName,nvarchar
EmployeesGroups,EnglishName,nvarchar
EmployeesGroups,GroupTypes,int
EmployeeTimeTables,TenantId,int
EmployeeTimeTables,EmployeeId,int
EmployeeTimeTables,PlanDetailId,int
EmployeeTimeTables,Date,date
Equations,TenantId,int
Equations,Id,int
Equations,Name,nvarchar
Equations,Code,nvarchar
Equations,Text,nvarchar
Equations,ItemId,int
Equations,ExcOrder,int
Equations,Type,nvarchar
Equations,IsDefault,bit
Equations,Description,nvarchar
Equations,IsArchived,bit
EssSettings,TenantId,int
EssSettings,Id,int
EssSettings,EnableEssEmployeeEdit,bit
EssSettings,PrintAttendance,bit
EssSettings,EnableTimeSheet,bit
EssSettings,FinancialRequestId,int
EssSettings,OnlyByDayVacation,bit
Evaluations,TenantId,int
Evaluations,Id,int
Evaluations,EmployeeEvaluationId,int
Evaluations,KPIId,int
Evaluations,FromDate,datetime
Evaluations,EvaluationValue,float
Evaluations,PercentageWeight,float
Evaluations,ToDate,datetime
EvaluationTemplateKPIs,TenantId,int
EvaluationTemplateKPIs,EvaluationTemplateId,int
EvaluationTemplateKPIs,KPIId,int
EvaluationTemplateKPIs,Weight,float
EvaluationTemplates,TenantId,int
EvaluationTemplates,Id,int
EvaluationTemplates,Code,int
EvaluationTemplates,ArabicName,nvarchar
EvaluationTemplates,EnglishName,nvarchar
EvaluationTemplates,Period,int
EvaluationTemplates,Type,tinyint
EvaluationTemplates,Description,nvarchar
EvaluationTemplates,IsActive,bit
EvaluationTemplates,Categories,nvarchar
Evaluators,TenantId,int
Evaluators,Id,int
Evaluators,EmployeeId,int
Evaluators,JobTitleId,int
Evaluators,DepartmentId,int
Evaluators,Boss,int
Evaluators,Order,tinyint
Evaluators,Kpis,nvarchar
Evaluators,EmployeeEvaluationTemplateId,int
Events,TenantId,int
Events,Id,int
Events,EventName,nvarchar
Events,EventRec,int
Events,EventDate,datetime
Events,FontColor,nvarchar
Events,BackgroundColor,nvarchar
Events,EventNameEn,nvarchar
Experiences,TenantId,int
Experiences,Id,int
Experiences,PreviousPosition,nvarchar
Experiences,StartDate,datetime
Experiences,EndDate,datetime
Experiences,Organization,nvarchar
Experiences,Notes,nvarchar
Experiences,EmployeeId,int
ExperienceValues,TenantId,int
ExperienceValues,Id,int
ExperienceValues,Value,float
ExperienceValues,Year,int
ExperienceValues,RankId,int
ExtraWorkings,TenantId,int
ExtraWorkings,Id,int
ExtraWorkings,DurationFrom,nchar
ExtraWorkings,DurationTo,nchar
ExtraWorkings,Hours,int
ExtraWorkings,FormDeliveryDate,datetime
ExtraWorkings,Date,datetime
ExtraWorkings,EmployeeId,int
ExtraWorkings,ExtraWorkingTimeId,int
ExtraWorkingTimes,TenantId,int
ExtraWorkingTimes,Id,int
ExtraWorkingTimes,ArabicName,nvarchar
ExtraWorkingTimes,EnglishName,nvarchar
FamilyMembers,TenantId,int
FamilyMembers,Id,int
FamilyMembers,ArabicName,nvarchar
FamilyMembers,BirthDate,datetime
FamilyMembers,EmployeeId,int
FamilyMembers,RelationTypeId,int
FamilyMembers,MaritalStatus,nvarchar
FamilyMembers,EnglishName,nvarchar
FamilyMembers,IdNumber,varchar
FamilyMembers,RelationDate,date
FamilyMembers,CountryId,int
Files,TenantId,int
Files,Id,int
Files,Path,nvarchar
Files,IsDocument,bit
Files,EmployeeId,int
Files,DocumentTypeId,int
Files,IsAttached,bit
Footers,TenantId,int
Footers,Id,int
Footers,ArabicTemplate,nvarchar
Footers,EnglishTemplate,nvarchar
FormalVacations,TenantId,int
FormalVacations,Id,int
FormalVacations,StartDate,datetime
FormalVacations,Title,nvarchar
FormalVacations,EndDate,datetime
FormalVacations,IsAllDay,bit
FormalVacations,StartTime,time
FormalVacations,EndTime,time
FormDataHistories,TenantId,int
FormDataHistories,Id,int
FormDataHistories,Url,nvarchar
FormDataHistories,FormData,ntext
FormDataHistories,Username,nvarchar
Genders,TenantId,int
Genders,Id,int
Genders,ArabicName,nvarchar
Genders,EnglishName,nvarchar
Governrates,TenantId,int
Governrates,Id,int
Governrates,ArabicName,nvarchar
Governrates,EnglishName,nvarchar
Governrates,CountryId,int
Grades,TenantId,int
Grades,Id,int
Grades,ArabicName,nvarchar
Grades,EnglishName,nvarchar
HeightHarmonies,TenantId,int
HeightHarmonies,Id,int
HeightHarmonies,ArabicName,nvarchar
HeightHarmonies,EnglishName,nvarchar
HireTypes,TenantId,int
HireTypes,Id,int
HireTypes,ArabicName,nvarchar
HireTypes,EnglishName,nvarchar
Holidays,TenantId,int
Holidays,Id,int
Holidays,ArabicName,nvarchar
Holidays,BDate,datetime
Holidays,Days,int
Holidays,EnglishName,nvarchar
HSBCSettings,TenantId,int
HSBCSettings,Id,int
HSBCSettings,PaymentType,nvarchar
HSBCSettings,DebitAccountNumber,nvarchar
HSBCSettings,DebitAccountCountry,nvarchar
HSBCSettings,DebitAccountCurrency,nvarchar
HSBCSettings,TransactionCurrency,nvarchar
HSBCSettings,BeneCountryCode,nvarchar
HSBCSettings,SecondPartyReference,nvarchar
HSBCSettings,LCCCode,nvarchar
Identifications,TenantId,int
Identifications,Id,int
Identifications,ResidenceNumber,nvarchar
Identifications,PassportNumber,nvarchar
Identifications,ResidenceEndDate,datetime
Identifications,PassportEndDate,datetime
Identities,TenantId,int
Identities,Id,int
Identities,TableName,nvarchar
Identities,TableId,int
ImportantDates,TenantId,int
ImportantDates,Id,int
ImportantDates,EventName,nvarchar
ImportantDates,DateTime,datetime
ImportantDates,EmployeeId,int
ImportantDates,SystemCalender,bit
ImportantDates,EmployeePortal,bit
InsuranceDocuments,TenantId,int
InsuranceDocuments,Id,int
InsuranceDocuments,InstitutionNumber,int
InsuranceDocuments,Area,nvarchar
InsuranceDocuments,Office,nvarchar
InsuranceDocuments,InstitutionName,nvarchar
InsuranceDocuments,Owner,nvarchar
InsuranceDocuments,DirectorInCharge,nvarchar
InsuranceDocuments,PropertyID,int
InsuranceDocuments,StreetName,nvarchar
InsuranceDocuments,Xiahe,nvarchar
InsuranceDocuments,Village,nvarchar
InsuranceDocuments,Section,nvarchar
InsuranceDocuments,Station,nvarchar
InsuranceDocuments,Governorate,nvarchar
InsuranceDocuments,StopDate,datetime
InsuranceDocuments,ContinueDate,datetime
InsuranceDocuments,StopReason,nvarchar
InsuranceDocuments,StartActivity,nvarchar
InsuranceDocuments,InstitutionLegalForm,nvarchar
InsuranceEmployeeSalaries,TenantId,int
InsuranceEmployeeSalaries,Id,int
InsuranceEmployeeSalaries,EmployeeId,int
InsuranceEmployeeSalaries,BasicItemId,int
InsuranceEmployeeSalaries,SubscriptionItemId,int
InsuranceEmployeeSalaries,TotalItemId,int
InsuranceEmployeeSalaries,BasicValue,decimal
InsuranceEmployeeSalaries,SubscriptionValue,decimal
InsuranceEmployeeSalaries,TotalValue,decimal
InsuranceLimits,Id,int
InsuranceLimits,Year,int
InsuranceLimits,MinBasicSalary,float
InsuranceLimits,MaxBasicSalary,float
InsuranceLimits,MinSubscriptionFee,float
InsuranceLimits,MaxSubscriptionFee,float
InsuranceLimits,RetirementAge,int
InsuranceLimits,LastModifiedDate,datetime
InsuranceOfficeEmployees,TenantId,int
InsuranceOfficeEmployees,Id,int
InsuranceOfficeEmployees,EmployeeId,int
InsuranceOfficeEmployees,InsuranceOfficeId,int
InsuranceOffices,TenantId,int
InsuranceOffices,Id,int
InsuranceOffices,OfficeName,nvarchar
Insurances,TenantId,int
Insurances,Id,int
Insurances,Date,datetime
Insurances,BasicSalary,float
Insurances,VariableSalary,float
Insurances,InsuranceType_Id,int
Insurances,SubscriptionFee,float
Insurances,Minimum,float
Insurances,Maximum,float
Insurances,Retirementage,float
Insurances,LastModifiedDate,float
InsuranceTypes,TenantId,int
InsuranceTypes,Id,int
InsuranceTypes,ArabicName,nvarchar
InsuranceTypes,EnglishName,nvarchar
InsuranceTypes,DeductionOfBasicSalary,float
